0,0,0,0,-9.1331384e+02
0,0,0,1,-9.6573075e+02
0,0,0,2,-5.9904932e+02
0,0,0,3,-9.9874362e+02
0,0,0,4,-1.0685895e+03
0,0,0,5,-1.1062794e+03
0,0,0,6,-9.8256791e+02
0,0,0,7,-6.0281137e+02
0,0,0,8,-1.1737247e+03
0,0,0,9,-6.3739481e+02
0,0,0,10,-1.1174224e+03
0,0,0,11,-9.8638373e+02
0,0,0,12,-1.1153159e+03
0,0,0,13,-1.1349866e+03
0,0,0,14,-1.0004528e+03
0,0,0,15,-6.5588663e+02
0,0,0,16,-1.0069500e+03
0,0,0,17,-1.0337699e+03
0,0,0,18,-9.2030887e+02
0,0,0,19,-1.0289262e+03
0,0,0,20,-8.5571506e+02
0,0,0,21,-9.5413898e+02
0,0,0,22,-9.8352070e+02
0,0,0,23,-9.4440941e+02
0,0,0,24,-9.8020653e+02
0,0,0,25,-9.3147685e+02
0,0,0,26,-9.2639353e+02
0,0,0,27,-6.6484020e+02
0,0,0,28,-1.0202604e+03
0,0,0,29,-9.1415486e+02
0,0,0,30,-9.4106473e+02
0,0,0,31,-1.0333181e+03
0,0,0,32,-1.0289907e+03
0,0,0,33,-6.6740668e+02
0,0,0,34,-2.6506055e+01
0,0,0,35,-1.2961790e+02
0,0,0,36,-5.7952159e+01
0,0,0,37,1.4102231e+02
0,0,0,38,5.6053006e+01
0,0,0,39,3.0063715e+02
0,0,0,40,3.2123664e+02
0,0,0,41,3.7598464e+02
0,0,0,42,5.0812724e+02
0,0,0,43,5.6948120e+02
0,0,0,44,6.0948410e+02
0,0,0,45,4.5568511e+02
0,0,0,46,6.0531589e+02
0,0,0,47,4.5616827e+02
0,0,0,48,4.9402259e+02
0,0,0,49,4.9250825e+02
0,0,0,50,2.8284363e+02
0,0,0,51,1.0877081e+03
0,0,0,52,6.7384651e+02
0,0,0,53,7.2053938e+02
0,0,0,54,7.2027714e+02
0,0,0,55,7.9326248e+02
0,0,0,56,6.7650812e+02
0,0,0,57,4.6618176e+02
0,0,0,58,2.9585050e+02
0,0,0,59,7.6393076e+02
0,0,0,60,6.6083410e+02
0,0,0,61,5.9752721e+02
0,0,0,62,2.1597213e+01
0,0,0,63,6.4076739e+02
0,0,1,0,-5.4566012e+02
0,0,1,1,-4.6764147e+02
0,0,1,2,7.6166240e+00
0,0,1,3,-6.1142041e+02
0,0,1,4,9.4971765e+01
0,0,1,5,-7.5850022e+02
0,0,1,6,-4.0701567e+02
0,0,1,7,-6.8230577e+02
0,0,1,8,-7.5853595e+02
0,0,1,9,1.2757377e+02
0,0,1,10,-8.2930878e+02
0,0,1,11,9.1128554e+01
0,0,1,12,-2.0199007e+02
0,0,1,13,-5.2209594e+02
0,0,1,14,-3.6953949e+02
0,0,1,15,-8.0620746e+02
0,0,1,16,-6.5488032e+02
0,0,1,17,-6.6319684e+02
0,0,1,18,-6.4505422e+02
0,0,1,19,-6.1120545e+02
0,0,1,20,-6.5883068e+02
0,0,1,21,-6.2770088e+02
0,0,1,22,-6.0484975e+02
0,0,1,23,-5.9295293e+02
0,0,1,24,-1.5868520e+02
0,0,1,25,-4.4838819e+02
0,0,1,26,-3.8872959e+02
0,0,1,27,-1.8243627e+02
0,0,1,28,-3.7203121e+02
0,0,1,29,-9.4057189e+01
0,0,1,30,-4.1517208e+01
0,0,1,31,-3.0546979e+01
0,0,1,32,-8.3347571e+01
0,0,1,33,5.4510765e+00
0,0,1,34,6.8817016e+02
0,0,1,35,6.7856202e+02
0,0,1,36,7.5262769e+02
0,0,1,37,9.7541842e+03
0,0,1,38,3.7681074e+02
0,0,1,39,8.0054455e+02
0,0,1,40,7.1138692e+02
0,0,1,41,6.6442836e+02
0,0,1,42,7.2986420e+02
0,0,1,43,6.7408304e+02
0,0,1,44,7.3701536e+02
0,0,1,45,6.7057329e+02
0,0,1,46,5.9047227e+02
0,0,1,47,6.3772377e+02
0,0,1,48,6.4377215e+02
0,0,1,49,5.9900774e+02
0,0,1,50,5.0550587e+02
0,0,1,51,1.1988748e+03
0,0,1,52,1.0964975e+03
0,0,1,53,8.8214783e+02
0,0,1,54,8.9447798e+02
0,0,1,55,1.3073181e+03
0,0,1,56,8.6686118e+02
