0	0	0	0	-1.9525523e+02
0	0	0	1	-3.1740631e+02
0	0	0	2	-1.5808691e+02
0	0	0	3	-3.1122809e+02
0	0	0	4	-3.0425299e+02
0	0	0	5	-2.5764453e+02
0	0	0	6	-2.6344113e+02
0	0	0	7	-2.4481844e+02
0	0	0	8	-4.4602548e+02
0	0	0	9	-2.2370583e+02
0	0	0	10	-3.3448102e+02
0	0	0	11	-1.7357257e+02
0	0	0	12	-3.8831866e+02
0	0	0	13	-2.7430539e+02
0	0	0	14	-3.8224347e+02
0	0	0	15	-3.4682242e+02
0	0	0	16	-3.5850693e+02
0	0	0	17	-5.1339832e+02
0	0	0	18	-3.9649393e+02
0	0	0	19	-4.7580704e+02
0	0	0	20	-2.7259164e+02
0	0	0	21	-3.8066699e+02
0	0	0	22	-3.9048334e+02
0	0	0	23	-3.4009241e+02
0	0	0	24	-4.0242957e+02
0	0	0	25	-4.4300632e+02
0	0	0	26	-4.2226999e+02
0	0	0	27	-4.0143625e+02
0	0	0	28	-4.0771494e+02
0	0	0	29	-4.7030884e+02
0	0	0	30	-3.8132019e+02
0	0	0	31	-3.6429166e+02
0	0	0	32	-3.7982254e+02
0	0	0	33	-4.2443375e+02
0	0	0	34	2.9254895e+02
0	0	0	35	2.2094299e+02
0	0	0	36	3.2177429e+02
0	0	0	37	2.2352077e+02
0	0	0	38	2.2722937e+02
0	0	0	39	3.1886053e+02
0	0	0	40	2.9477765e+02
0	0	0	41	2.7061142e+02
0	0	0	42	2.9966025e+02
0	0	0	43	2.7262231e+02
0	0	0	44	-1.9156485e+02
0	0	0	45	1.9228667e+02
0	0	0	46	2.4743089e+02
0	0	0	47	1.7700661e+02
0	0	0	48	2.4495459e+02
0	0	0	49	1.8364717e+02
0	0	0	50	2.3418974e+02
0	0	0	51	8.4735895e+02
0	0	0	52	8.0434851e+02
0	0	0	53	4.3125052e+02
0	0	0	54	4.8776013e+02
0	0	0	55	1.3948739e+03
0	0	0	56	5.5182819e+02
0	0	0	57	6.4526770e+02
0	0	0	58	5.7500995e+02
0	0	0	59	5.1045169e+02
0	0	0	60	5.6525238e+02
0	0	0	61	4.5863477e+02
0	0	0	62	5.0188861e+02
0	0	0	63	4.8634705e+02
0	0	1	0	-1.6768356e+02
0	0	1	1	-3.4401077e+02
0	0	1	2	-2.6934631e+02
0	0	1	3	-2.6700391e+02
0	0	1	4	-2.4346558e+02
0	0	1	5	-2.2816824e+02
0	0	1	6	-3.0949268e+02
0	0	1	7	-2.8791052e+02
0	0	1	8	-3.4035043e+02
0	0	1	9	-2.5436371e+02
0	0	1	10	-4.4655704e+02
0	0	1	11	-2.2049977e+02
0	0	1	12	-3.3688782e+02
0	0	1	13	-3.1212732e+02
0	0	1	14	-3.6999951e+02
0	0	1	15	-3.3863858e+02
0	0	1	16	-3.8251691e+02
0	0	1	17	-4.2554095e+02
0	0	1	18	-3.5268851e+02
0	0	1	19	-3.5925305e+02
0	0	1	20	-4.5133426e+02
0	0	1	21	-3.9836081e+02
0	0	1	22	-3.9745193e+02
0	0	1	23	-3.5998688e+02
0	0	1	24	-3.8178418e+02
0	0	1	25	-3.3597647e+02
0	0	1	26	-4.9079865e+02
0	0	1	27	-3.0649847e+02
0	0	1	28	-3.4985437e+02
0	0	1	29	-3.7012097e+02
0	0	1	30	-3.5145309e+02
0	0	1	31	-3.8712164e+02
0	0	1	32	-3.4717694e+02
0	0	1	33	-4.1273227e+02
0	0	1	34	3.7768411e+02
0	0	1	35	3.0314941e+02
0	0	1	36	3.8762201e+02
0	0	1	37	2.9651550e+02
0	0	1	38	4.4150836e+02
0	0	1	39	2.9057037e+02
0	0	1	40	4.4941150e+02
0	0	1	41	3.9610367e+02
0	0	1	42	4.0285754e+02
0	0	1	43	2.7406396e+02
0	0	1	44	3.3704904e+02
0	0	1	45	2.9634714e+02
0	0	1	46	3.6844275e+02
0	0	1	47	2.9574493e+02
0	0	1	48	2.9711169e+02
0	0	1	49	3.9090454e+02
0	0	1	50	5.6539624e+02
0	0	1	51	8.1818066e+02
0	0	1	52	8.6675635e+02
0	0	1	53	5.7543854e+02
0	0	1	54	6.7322522e+02
0	0	1	55	4.4665118e+02
0	0	1	56	7.6986414e+02
0	0	1	57	7.2119598e+02
0	0	1	58	7.6595044e+02
0	0	1	59	5.7077386e+02
0	0	1	60	5.3548035e+02
0	0	1	61	5.2274780e+02
0	0	1	62	6.0486346e+02
0	0	1	63	7.1058789e+02
1	0	0	0	-3.1145386e+02
1	0	0	1	-5.0048087e+02
1	0	0	2	-3.7275943e+02
1	0	0	3	-4.1879810e+02
1	0	0	4	-4.5227585e+02
1	0	0	5	-4.9531824e+02
1	0	0	6	-4.4938690e+02
1	0	0	7	-3.4019592e+02
1	0	0	8	-5.6630017e+02
1	0	0	9	-3.0097540e+02
1	0	0	10	-5.5101459e+02
1	0	0	11	-3.4271030e+02
1	0	0	12	-4.8895132e+02
1	0	0	13	-4.5701913e+02
1	0	0	14	-5.9713647e+02
1	0	0	15	-4.0758264e+02
1	0	0	16	-6.8370135e+02
1	0	0	17	-5.9562262e+02
1	0	0	18	-6.1245569e+02
1	0	0	19	-5.7220325e+02
1	0	0	20	-5.0951767e+02
1	0	0	21	-5.7395477e+02
1	0	0	22	-5.7583972e+02
1	0	0	23	-5.5308746e+02
1	0	0	24	-6.1039075e+02
1	0	0	25	-5.5637024e+02
1	0	0	26	-5.0366785e+02
1	0	0	27	-5.6807440e+02
1	0	0	28	-4.4009555e+02
1	0	0	29	-4.7650204e+02
1	0	0	30	-5.0784137e+02
1	0	0	31	-5.1681573e+02
1	0	0	32	-5.0622559e+02
1	0	0	33	-5.2841467e+02
1	0	0	34	1.4621901e+02
1	0	0	35	2.2274510e+02
1	0	0	36	2.3442392e+02
1	0	0	37	3.1644714e+02
1	0	0	38	2.2002177e+02
1	0	0	39	9.9346786e+01
1	0	0	40	1.3771069e+02
1	0	0	41	2.5064153e+02
1	0	0	42	2.1003677e+02
1	0	0	43	1.7776183e+02
1	0	0	44	2.5598213e+02
1	0	0	45	1.9093929e+02
1	0	0	46	2.3280360e+02
1	0	0	47	1.9125206e+02
1	0	0	48	7.4802338e+01
1	0	0	49	2.3633768e+02
1	0	0	50	2.4215898e+02
1	0	0	51	8.2446863e+02
1	0	0	52	8.4138586e+02
1	0	0	53	4.1132278e+02
1	0	0	54	4.0846347e+02
1	0	0	55	5.4718268e+02
1	0	0	56	5.0300635e+02
1	0	0	57	6.1692828e+02
1	0	0	58	5.3260413e+02
1	0	0	59	4.2993307e+02
1	0	0	60	4.4971307e+02
1	0	0	61	3.6004126e+02
1	0	0	62	4.8559003e+02
1	0	0	63	4.1232605e+02
1	0	1	0	-1.0894077e+02
1	0	1	1	-2.7549445e+02
1	0	1	2	-7.6477402e+01
1	0	1	3	-2.0039673e+02
1	0	1	4	-1.8892163e+02
1	0	1	5	-2.7520181e+02
1	0	1	6	-2.4295906e+02
1	0	1	7	-2.0282315e+02
1	0	1	8	-3.0446692e+02
1	0	1	9	-1.2723224e+02
1	0	1	10	-2.8890500e+02
1	0	1	11	-2.2171843e+02
1	0	1	12	-2.5094250e+02
1	0	1	13	-1.6980156e+02
1	0	1	14	-3.4073608e+02
1	0	1	15	-2.7908585e+02
1	0	1	16	-3.4467404e+02
1	0	1	17	-4.0064243e+02
1	0	1	18	-3.9099063e+02
1	0	1	19	-2.5353218e+02
1	0	1	20	-3.0747784e+02
1	0	1	21	-3.8633353e+02
1	0	1	22	-2.8554407e+02
1	0	1	23	-2.3280919e+02
1	0	1	24	-3.6385519e+02
1	0	1	25	-2.6911313e+02
1	0	1	26	-3.7846725e+02
1	0	1	27	-2.6922751e+02
1	0	1	28	-3.0904187e+02
1	0	1	29	-2.6727060e+02
1	0	1	30	-3.1676639e+02
1	0	1	31	-3.6651157e+02
1	0	1	32	-3.1122992e+02
1	0	1	33	-3.1168484e+02
1	0	1	34	2.8598138e+02
1	0	1	35	2.2060291e+02
1	0	1	36	3.6428729e+02
1	0	1	37	2.4933189e+02
1	0	1	38	3.1996317e+02
1	0	1	39	1.6407991e+02
1	0	1	40	2.4833812e+02
1	0	1	41	1.3960014e+02
1	0	1	42	2.3700638e+02
1	0	1	43	2.1964461e+02
1	0	1	44	1.8088962e+02
1	0	1	45	1.7228825e+02
1	0	1	46	3.1892047e+02
1	0	1	47	1.8606107e+02
1	0	1	48	3.3321884e+01
1	0	1	49	2.3521808e+02
1	0	1	50	3.5535321e+02
1	0	1	51	7.6950482e+02
1	0	1	52	7.5947815e+02
1	0	1	53	3.9231427e+02
1	0	1	54	4.1417706e+02
1	0	1	55	3.5012146e+02
1	0	1	56	4.0205084e+02
1	0	1	57	5.5438733e+02
1	0	1	58	5.7319897e+02
1	0	1	59	5.5335181e+02
1	0	1	60	4.7868533e+02
1	0	1	61	4.0784204e+02
1	0	1	62	5.1536340e+02
1	0	1	63	7.1972681e+02
