LChannel	LenergyMean	LenergyStd
131072.0	19.749774082891435	0.14392723678347433
131073.0	20.97845663234949	0.44548823522733677
131074.0	23.579787139325504	0.3976978479899636
131075.0	22.778779378996035	0.330342728162396
131076.0	23.39800471912738	0.37456143847536094
131077.0	23.061872956680954	0.37146092951935655
131078.0	22.777610003744304	0.40037860361635336
131079.0	21.944549424866086	0.3112355577365323
131080.0	23.498027161087666	0.3854078593123412
131081.0	22.31839092608788	0.3222821464652129
131082.0	20.47368135978189	0.2795694150528777
131083.0	23.502147631985025	0.3731805276528824
131084.0	20.48847143040528	0.3061515393962078
131085.0	24.15744168231553	0.31191244614276303
131086.0	22.82212474029578	0.35979950003621325
131087.0	22.69543777857998	0.374065355777839
131088.0	20.98498766229598	0.2658399183448929
131089.0	20.492153807575946	0.5849333806420784
131090.0	20.46498602922076	0.2795694150528777
131091.0	21.15259722199251	0.0981272113288033
131092.0	23.992662752768595	0.3751728901088146
131093.0	21.963699776430715	0.3783930059747118
131094.0	22.0682503878905	0.09030324208985822
131095.0	21.98374235167349	0.10718141592383061
131096.0	20.45087841875093	0.2847841218653049
131097.0	23.740360928441632	0.34208325747761636
131098.0	22.48529893825521	0.4265832113657502
131100.0	22.686837355225652	0.2733881764350482
131101.0	21.877973223463833	0.37433541328071507
131102.0	24.147359427256436	0.2938478558975722
131103.0	21.819399331879342	0.3512800968184278
131104.0	20.53989169307717	0.34108140565139394
131105.0	22.626178092650257	0.30855322374305544
131106.0	22.478210768799553	0.26927316737825574
131107.0	23.018029987713405	0.3763527568009678
131108.0	22.864322542914977	0.35498122151248895
131109.0	22.1187439599723	0.3727194639474638
131110.0	21.554076788444473	0.33569377049973786
131111.0	23.476544039661277	0.34154950659307926
131112.0	23.85413208867071	0.3262945202391155
131113.0	23.115306240247772	0.27904647746647043
131114.0	22.07895787012614	0.22674337576013656
131115.0	22.25557921169498	0.1692201092118688
131116.0	22.886453562507896	0.37417236173169627
131117.0	19.861661253623616	0.0789450322752219
131118.0	21.688988793199126	0.2929239466625929
131119.0	20.025820397600615	0.067283023666715
131120.0	19.92278120926208	0.32968645235985095
131121.0	22.941527199999413	0.429982549977498
131122.0	23.772655020751145	0.3224392895278404
131123.0	22.367793452747	0.2685159946758509
131124.0	21.15227764045202	0.22851395799155136
131125.0	20.499243936064694	0.03755183599207761
131126.0	20.224843666458835	0.04183750951113067
131127.0	20.713348315606392	0.3543186958276185
131128.0	22.38625277337416	0.2550165515631628
131129.0	21.72871657257717	0.22813973235648805
131130.0	23.798795010783582	0.382771527545353
131131.0	21.794923729758505	0.31070986591200006
131132.0	20.72811775879881	0.34974225938452297
131133.0	21.307089933491785	0.1970529870386301
131134.0	23.853723016488377	0.3494817288842556
131135.0	22.09488044721121	0.3706129714623323
131136.0	22.16305642172888	0.4197075411148917
131137.0	24.274113368954033	0.34578143593633776
131138.0	24.785894317800835	0.376137974896613
131139.0	23.126900868474653	0.25176682089654345
131140.0	22.999565627392393	0.3659449925186131
131141.0	23.58128406669872	0.44337151496446753
131142.0	23.163147361268916	0.28700773486592335
131143.0	27.50435233364419	0.49207360400902384
131144.0	22.405750586162096	0.28408166662801915
131145.0	25.154469616628695	0.44000500045951874
131146.0	23.073711921827663	0.4340230133246731
131147.0	23.46043322558233	0.37620013676213426
131148.0	22.16855833136268	0.3905638557150311
131149.0	23.99385103771525	0.40290596981137455
131150.0	23.469456574913274	0.33814080851154715
131151.0	23.97579913421284	0.3498761950418411
131152.0	23.27540049233287	0.466369080161455
131153.0	21.856402168138374	0.3742094851209863
131154.0	24.9546103988612	0.4152162367097253
131155.0	23.70143227120049	0.46117972009756547
131156.0	22.984081290950133	0.34769237743889914
131157.0	21.174593524713536	0.34723280960208047
131158.0	23.43486791082825	0.2823249377306035
131159.0	21.47666591693783	0.28983829274055234
131160.0	22.844310973710535	0.3610754303634348
131161.0	22.524373061207363	0.36833039677578655
131162.0	23.22911560207655	0.3657639361477926
131163.0	23.06552966400421	0.3776651340924368
131164.0	22.157254244504575	0.34351326428571477
131165.0	23.026050595824852	0.3878880150114816
131166.0	23.45937235282064	0.40419036446223683
131167.0	24.099300706957834	0.3489508471810137
131168.0	24.13548280362701	0.4243729783693293
131169.0	24.114155548302886	0.38896362522566846
131170.0	24.056240768800823	0.38793497053496234
131171.0	24.35137844232135	0.5126935891615652
131172.0	22.806608393004993	0.3675910333135273
131173.0	23.464394485192386	0.3375052221887777
131174.0	24.091451869806193	0.3385426254461805
131175.0	24.176467697960312	0.37461784150784905
131176.0	22.944839156383914	0.38921258186711927
131177.0	23.166811653416904	0.32821079319167296
131178.0	23.1959870943292	0.3469715969211965
131179.0	24.0483555783512	0.38127236690965405
131180.0	22.753571717329834	0.38699428184425316
131181.0	23.920569039609415	0.3989238861230347
131182.0	25.088113832933434	0.3775278043899394
131183.0	23.570208698599576	0.31992693336961514
131184.0	23.504170540873762	0.39586675248055436
131185.0	22.743118672441536	0.40821549542417745
131186.0	24.297415007361685	0.40973757412278994
131187.0	24.55462513601566	0.444646248755747
131188.0	23.48759479361898	0.36313720780624936
131189.0	23.88880537695651	0.3643826822315286
131190.0	24.713278950908215	0.4395653590309167
131191.0	25.237101854223162	0.37913626195520445
131192.0	24.222008028442346	0.40720806602949955
131193.0	23.891959979443932	0.39784815395083334
131194.0	22.930534301984107	0.3438157086388852
131195.0	23.937708499502996	0.39292320121131713
131196.0	22.8909467032885	0.34196995525182955
131197.0	22.1211267759761	0.38006870336571646
131198.0	23.856751812161736	0.3941918591870985
131199.0	23.483918482623178	0.3814207756605601
131200.0	22.949348921683477	0.15499666405656795
131201.0	20.346328838931058	0.047653780229102244
131202.0	23.119926524896474	0.12046659721565282
131203.0	21.87949830167161	0.18907587732973674
131204.0	21.329149736669294	0.07445143551078501
131205.0	20.153852115050118	0.0777918694165358
131206.0	20.41763029104017	0.0575880467848122
131208.0	22.26941984537318	0.18507333661080197
131209.0	20.87355812636038	0.06453045232495343
131210.0	21.18952809395309	0.06310711749176862
131211.0	21.20730228630974	0.0591409387401784
131212.0	20.33470802524529	0.2082316037262949
131213.0	20.270415893231302	0.06631159104775178
131214.0	23.057776439072818	0.20186368027357018
131215.0	23.10884437998193	0.2252037985392397
