RChannel	RenergyMean	RenergyStd
0.0	30.483058877884762	0.09917619832163309
1.0	27.85735401360885	0.07059554650915502
3.0	28.08308446884524	0.12718328547446645
5.0	28.709272254898096	0.02463970852149386
6.0	27.81475905779618	0.18626538777565277
7.0	30.074221221013467	0.13867563117388917
8.0	27.968527290930957	0.12650151563338063
9.0	29.3156732775837	0.0755110791759609
10.0	28.82737376267489	0.1557656764672177
11.0	27.68530145227085	0.18626538777565277
13.0	29.287412253556727	0.18626538777565277
14.0	29.733728087582005	0.1413683122927104
15.0	28.266129639812164	0.15980920443405575
16.0	28.390969020576918	0.11846746590574303
17.0	28.492026966385698	0.22124840544854052
18.0	29.697493518936696	0.1328097043008185
19.0	27.896710812785546	0.08365483659272044
20.0	28.882446035925717	0.12678389754065272
21.0	28.075959474001134	0.11671490660750308
22.0	28.452794183179545	0.12790276469756212
23.0	27.517692824245167	0.12904634561091952
25.0	28.294422644182532	0.18626538777565277
26.0	28.62925032651292	0.18626538777565277
32.0	29.889095999556503	0.1080353070477775
33.0	26.81914161842887	0.18626538777565277
34.0	28.18725811921916	0.005337089737741714
36.0	29.28236056122322	0.11919593953145335
37.0	27.20301216914813	0.08491495413813092
38.0	28.621051916860488	0.19982125460740577
40.0	26.831300668865794	0.18626538777565277
41.0	26.904536007047263	0.003171917422660893
43.0	31.3096808153736	0.15003009704116993
44.0	31.08107710904951	0.0831975508535918
45.0	28.335873516849887	0.12865039717757853
47.0	28.123348492827745	0.08428456493582637
50.0	29.849070856988554	0.12976204288658028
51.0	28.541748220822154	0.06734025795105231
52.0	30.054924122775493	0.08715474656912216
53.0	27.762629976827924	0.18626538777565277
54.0	27.339496098044858	0.12208078863127958
55.0	31.11725421343528	0.09260544390008524
56.0	31.032584827302394	0.1377960556725086
57.0	28.605539860189616	0.18052129837250216
58.0	28.24270323344839	0.16982881108331244
59.0	27.55298560464185	0.06369749849945724
60.0	29.493642761437393	0.13392941984061615
61.0	29.059772426674527	0.10533804726004732
62.0	28.874397136592297	0.16833830926225427
63.0	29.155385243333146	0.18626538777565277
65.0	28.330033551101106	0.18626538777565277
66.0	29.43061139931745	0.1662752090922257
67.0	29.42396432788551	0.16133592690698065
68.0	27.88441238583634	0.18626538777565277
69.0	28.139636174105167	0.18626538777565277
70.0	27.220753058448064	0.18626538777565277
71.0	29.003887049407012	0.08021778601991027
