init param,init param,isotope,a,err,rela,,,,,redchi,bins,,,,,,,,,,
,,,,C10,18610.52411,209.6694547,65.17476801,C11,8347.100146,136.7720614,29.23186432,N13,1597.174783,173.5465854,5.593367245,O15,0.00012199,2.917598223,4.27E-07,241.278,20
,,,,C10,25827.663,374.5877807,66.57376105,C11,11222.62263,375.0934331,28.92759586,N13,81.28260666,468.0786003,0.209515233,O15,1663.991145,312.49298,4.289127856,237.93,25
,,,,C10,25613.32609,382.5576955,58.94833299,C11,12954.07253,37.31145917,29.81342519,N13,0.001537443,8.259217086,3.54E-06,O15,4883.067035,146.7307953,11.23823828,303.325,30
,,,,C10,31347.85154,463.5120565,60.27598939,C11,15170.0364,43.60802905,29.16911074,N13,0.000134604,16.13674098,2.59E-07,O15,5489.307257,172.4785823,10.55489961,328.058,35
,,,,C10,38744.11163,551.4826536,63.07653901,C11,17770.14321,50.43507425,28.93030926,N13,3.93E-05,12.30523845,6.40E-08,O15,4909.710733,199.5182566,7.99315167,225.606,40
,,,,C10,43375.1221,634.0936718,63.07951956,C11,19631.36513,55.84303785,28.54947769,N13,0.000238952,17.76078549,3.48E-07,O15,5756.119479,223.0630633,8.371002403,192.409,45
,,,,C10,50341.64039,743.1986961,64.06703355,C11,22005.56456,62.57835863,28.00527023,N13,0.000118801,40.23072812,1.51E-07,O15,6229.307057,251.9870563,7.927696061,189.803,50
10000,10000,10000,10000,C10,6150.243316,58.31406127,70.1903887,C11,2548.671868,38.55732332,29.08702305,N13,63.31482207,48.76620527,0.722587993,O15,2.29E-05,2.559359331,2.61E-07,5.339,5
,,,,C10,12316.39254,117.3724776,69.91476401,C11,4293.767291,73.30189873,24.37383559,N13,1006.13726,93.14927755,5.711400382,O15,2.94E-06,2.033267917,1.67E-08,35.25,10
,,,,C10,11080.65839,153.651677,57.76182318,C11,5116.112615,110.916996,26.6695337,N13,2986.588778,141.2093645,15.56864284,O15,5.31E-05,3.614770975,2.77E-07,192.146,15
,,,,C10,18609.45403,209.6700347,65.17286617,C11,8346.989914,136.771868,29.23230611,N13,1597.546559,173.546342,5.594827657,O15,1.99E-05,2.914925957,6.95E-08,241.278,20
,,,,C10,25827.76667,374.5914565,66.57382962,C11,11222.58471,375.0967807,28.9274118,N13,81.35114559,468.0151184,0.209691274,O15,1663.972619,312.4963316,4.289067307,237.93,25
,,,,C10,25612.54007,382.5651471,58.94682883,C11,12953.97263,37.355791,29.81334944,N13,0.001680132,8.512938668,3.87E-06,O15,4883.728119,146.7385905,11.23981787,303.325,30
,,,,C10,31347.89977,463.5272393,60.27616292,C11,15170.05558,43.60836658,29.16918672,N13,1.28E-07,16.16275597,2.45E-10,O15,5489.17027,172.4815677,10.55465036,328.058,35
,,,,C10,38742.75987,551.47143,63.07583999,C11,17770.24039,50.43474882,28.93115626,N13,8.00E-05,12.29684399,1.30E-07,O15,4909.502907,199.516614,7.993003618,225.606,40
,,,,C10,43374.17527,634.1392147,63.07864349,C11,19631.23352,55.84360729,28.549513,N13,0.000165608,17.80279806,2.41E-07,O15,5756.651971,223.071768,8.371843271,192.409,45
,,,,C10,50341.70967,743.2103083,64.06689535,C11,22005.6566,62.58758128,28.00528842,N13,7.49E-06,38.51422053,9.54E-09,O15,6229.423491,251.9904561,7.927816229,189.803,50
1,10000,C10,6180.794629,53.38997556,70.40384168,C11,2598.264129,5.233082243,29.59615832,5.271,5,,,,,,,,,,
,,C10,12817.28127,107.8224292,71.62555034,C11,5077.56381,10.36960988,28.37444966,35.96,10,,,,,,,,,,
,,C10,12572.55444,136.493534,62.82559106,C11,7439.281863,15.39848773,37.17440894,193.613,15,,,,,,,,,,
,,C10,19443.63571,189.0809317,66.96266222,C11,9592.897583,19.5611288,33.03733778,229.578,20,,,,,,,,,,
,,C10,28662.00319,243.7582815,71.17930757,C11,11605.32192,22.63702948,28.82069243,228.568,25,,,,,,,,,,
,,C10,33826.39805,292.335114,70.97469564,C11,13833.40203,26.34641236,29.02530436,322.599,30,,,,,,,,,,
