-74.50,-423.16,2499.41,162.77,0.00,2528.18,-105.95,4624.46,679.35,0.00,553.31,0.00,0.00,-61.77,5418.26,-659.03,1988.16,-455.39,988.71,2859.68,7179.89,0.00,667.98,-144.10,1223.65,0.00,879.87,729.46,1031.00,-570.59,546.99,924.86,-1531.48,1677.24,307.19,132.94,0.00,0.00,737.53,370.72,441.54,-55.41,-279.01,268.83,0.00,0.00,156.12,1184.41,0.00,5934.04,-96.13,-1237.04,-1392.99,0.00,709.77,0.00,0.00,0.00,1008.49,0.00,0.00,2614.38,-1259.13,-422.51,-727.68,0.00,1160.46,1504.75,0.00,0.00,995.35,406.37,1418.42,4396.83,0.00,-325.73,966.22,-234.79,0.00,762.83,359.69,-63.89,178.18,2705.57,1616.66,0.00,9141.35,0.00,-591.66,-663.32,2189.73,1099.18,1684.13,0.00,0.00,0.00,3155.67,-109.73,-608.04,-447.97,-1192.55,-581.43,1398.85,-903.71,-142.10,-756.32,-1059.79,-865.75,-1031.58,-861.90,-1053.54,-719.97,-801.73,-661.91,-743.10,-1265.06,-1310.15,-944.63,-1077.52,-1094.29,-1159.07,-1215.03,-1094.65,-1068.67,-1032.46,-1077.40,-1165.15,-990.88
3734.93,2268.02,0.00,0.00,0.00,0.00,6405.45,-624.87,54.63,0.00,-243.68,0.00,0.00,-213.10,-23.70,35.80,416.31,1821.10,4113.47,558.69,2282.56,2130.68,374.04,0.00,0.00,1159.53,0.00,-121.49,544.45,0.00,883.72,717.36,1177.00,0.00,0.00,1753.56,-941.93,-795.93,0.00,-768.05,-101.66,-628.33,-32.17,-35.53,5015.46,5796.03,1875.23,0.00,666.29,-385.47,-910.47,-1038.76,0.00,0.00,-571.59,0.00,1452.89,-1796.21,0.00,-468.55,0.00,0.00,0.00,-95.92,0.00,0.00,-223.19,0.00,-117.04,0.00,-615.07,0.00,0.00,-281.75,0.00,-44.95,-241.07,1743.24,0.00,476.72,3438.54,0.00,2417.75,0.00,-447.64,0.00,-403.84,4297.81,-233.44,920.28,0.00,189.34,-168.91,4729.82,0.00,-79.62,-428.47,-97.57,-983.12,-745.05,-834.74,-956.85,7269.66,-666.87,-1121.49,-799.02,-1001.03,-781.22,-994.25,-842.24,-1025.77,-634.82,-856.87,-729.38,-717.87,-1309.63,-1333.97,-948.24,-1051.30,-1052.11,-1128.66,-1121.16,0.00,-1059.59,-1052.40,-1081.05,-1445.24,-1005.49
379.37,1.49,20.62,-7.89,36.77,75.75,39.09,68.19,162.97,11.66,187.86,54.42,-148.58,8.42,106.24,146.47,-102.53,3045.14,101.88,205.01,4685.03,147.26,512.04,424.28,0.00,0.00,1802.80,-24.54,0.00,6022.36,-0.22,0.00,960.36,1898.44,2953.55,-550.44,0.00,-626.37,-425.77,-261.97,291.26,-703.71,601.33,569.21,204.59,-628.68,3003.27,216.30,4805.35,628.00,-549.79,-767.61,-1348.35,-597.32,-933.09,-332.39,42.30,-772.77,-852.05,0.00,-288.94,-703.09,-717.26,662.83,0.00,0.00,-30.81,4748.22,155.69,7030.50,2551.95,1791.02,1571.64,-69.93,2592.90,-52.23,0.00,18.44,45.11,2013.25,-144.52,0.00,0.00,5414.93,1045.06,4505.14,524.43,16.20,-273.03,0.00,0.00,195.98,-379.52,0.00,0.00,623.59,-139.90,1402.09,1211.32,0.00,2907.36,3556.54,-612.43,287.69,2275.59,-699.57,4011.97,-601.34,4790.30,4459.60,-970.90,-589.29,-791.58,-772.44,-679.74,-1264.48,-1158.78,-792.50,-858.25,-901.66,-986.05,-1033.38,-890.98,-1072.09,-972.72,-864.00,-794.37,-1096.26
223.20,1298.65,-326.80,0.00,0.00,0.00,-276.11,98.40,49.93,0.00,-195.46,0.00,778.71,-309.97,0.00,-85.97,1553.46,1355.60,1252.85,1679.26,0.00,-446.96,4859.86,1815.49,0.00,-417.92,764.82,0.00,4548.24,0.00,0.00,0.00,1119.10,7241.97,531.22,0.00,-1203.81,0.00,209.01,307.48,896.55,0.00,-169.82,-605.86,0.00,311.47,0.00,-780.28,0.00,0.00,-737.61,-1144.81,0.00,0.00,-11.72,0.00,-1346.72,-856.32,-1014.51,-436.31,-97.11,-879.17,1537.03,0.00,230.93,-543.62,0.00,4685.91,-216.04,0.00,1213.57,1558.89,0.00,0.00,1886.58,-197.07,0.00,274.83,0.00,0.00,890.39,0.00,0.00,0.00,332.45,259.93,758.23,4551.21,-273.89,0.00,237.56,798.24,0.00,4249.15,0.00,141.32,1082.78,-441.22,749.86,0.00,2419.99,-1502.95,-1385.22,0.00,-1321.75,-1087.93,-824.68,-1138.21,-1047.06,-948.49,-1001.94,-701.52,-992.35,-877.79,-908.87,-1324.40,-1453.96,-989.60,-1048.27,-1037.69,-1137.38,-1223.79,0.00,-1141.01,-1027.74,-1009.08,-1089.50,-1040.04
0.00,1331.53,-262.21,5128.70,-102.25,0.00,454.14,-216.51,22.42,-149.56,0.00,0.00,0.00,-72.12,327.15,-184.54,674.23,-25.74,1308.89,1342.56,907.46,6263.62,0.00,-242.83,1140.64,-182.59,0.00,1701.81,608.92,0.00,730.62,-791.00,753.69,1880.51,-1228.88,217.50,0.00,775.65,0.00,4465.20,65.39,-587.36,0.00,-991.60,0.00,0.00,-1117.95,265.56,0.00,-963.56,0.00,0.00,-770.43,145.16,0.00,-464.97,-1059.97,-1294.68,0.00,0.00,3906.18,-892.60,0.00,6112.92,5104.43,-212.78,-146.61,0.00,-146.77,0.00,-93.53,-47.30,-40.21,-142.28,0.00,-130.56,-205.51,-169.42,-103.91,-339.45,-320.51,0.00,1498.13,1054.12,0.00,1279.63,-155.74,-288.51,0.00,1060.15,-265.88,47.54,580.51,68.03,0.00,60.79,-77.40,-41.10,-271.01,-783.78,-850.46,0.00,-769.52,-859.99,-1637.72,-834.28,-1060.06,-798.27,-1431.19,-897.53,2799.65,-680.86,-696.52,-846.71,-801.51,-1354.50,-1348.84,-1026.52,-1054.60,-1028.26,-1207.80,-1169.22,-1046.17,-1063.32,-1053.97,-995.81,-998.17,-1145.73
-1051.10,1553.68,-107.43,-271.29,0.00,-136.82,0.00,-107.54,-68.69,3661.72,22.67,-120.44,15.53,1083.92,-226.73,-105.15,943.89,4949.76,6568.75,290.88,2184.19,1537.36,0.00,0.00,-137.56,-83.74,0.00,-385.19,3990.46,504.17,0.00,0.00,0.00,844.73,16.46,5371.93,0.00,0.00,753.45,0.00,-253.71,5665.37,0.00,-123.54,0.00,714.35,2218.04,0.00,-1254.22,160.64,0.00,-1465.20,-909.83,-72.32,0.00,-902.80,6696.97,0.00,-505.54,4039.23,-996.38,-205.50,0.00,0.00,89.71,0.00,-190.75,0.00,-160.61,191.92,36.79,3100.23,0.00,-262.29,616.47,-198.07,-214.55,0.00,-547.11,0.00,0.00,4794.55,4108.03,2432.83,0.00,0.00,0.00,-870.08,1423.86,3885.08,-9.08,66.41,5319.93,-561.08,0.00,-88.52,9408.93,22.43,-979.24,-746.26,-662.77,-1176.63,-857.39,0.00,-954.54,-951.29,-980.52,-842.70,-1257.42,-915.34,-39.54,-773.47,-922.06,-841.45,-757.66,-1375.84,-1375.37,-1001.85,-1040.59,-1086.49,-1128.89,-1187.85,-996.43,-1090.60,-1099.58,-1039.07,-1048.85,-1020.30
3618.38,-336.31,-234.77,137.31,1727.09,0.00,0.00,-240.23,145.89,-290.57,204.20,-44.32,-378.83,175.57,-560.14,-163.28,655.17,0.00,1142.13,868.17,0.00,886.71,-135.13,0.00,0.00,0.00,1095.72,507.82,937.46,1002.27,-1771.24,0.00,0.00,0.00,-1351.85,-1055.08,0.00,-1389.32,-126.67,0.00,0.00,237.78,2232.71,0.00,-88.03,3238.28,333.73,0.00,-6.22,-444.21,6755.97,-747.19,0.00,0.00,-949.63,-568.53,-713.39,-654.14,-1003.51,-17.93,0.00,-34.68,0.00,0.00,-107.06,20.35,-235.34,-240.79,-217.05,6174.41,-62.71,-359.45,-253.79,-224.46,4757.83,-218.06,-187.79,0.00,-106.37,-101.05,-179.24,0.00,190.41,0.00,-319.19,-144.88,-479.22,0.00,-257.31,584.11,0.00,34.50,-84.12,-251.35,0.00,-48.62,-199.09,-191.58,-1139.31,-794.36,-1115.81,-1069.17,-949.47,-1035.09,-931.46,-888.11,-1028.70,-825.10,-1147.56,-946.75,-1091.86,-748.12,-933.25,-824.90,-894.33,-1426.20,-1333.45,-1092.13,-1088.60,-1238.81,-1271.27,-1234.76,-1154.07,-1160.60,-1218.42,-1076.23,-1140.18,-1130.94
0.00,8109.78,-96.33,-66.66,137.30,-115.12,1723.48,-3.98,-69.05,154.53,-31.59,1105.42,-715.93,-227.02,30.58,25.03,0.00,496.82,858.28,477.76,1829.62,4920.89,1145.63,695.47,1029.93,1446.72,0.00,1144.22,0.00,724.93,8921.12,1205.65,100.91,4380.76,863.87,1074.23,-289.12,0.00,-337.54,624.14,0.00,0.00,0.00,0.00,118.47,13.45,764.12,581.69,-466.35,477.36,-142.21,5038.19,-774.57,1299.42,0.00,-908.08,-1042.94,0.00,-41.16,-131.34,0.00,1629.08,0.00,886.31,0.00,526.05,214.03,1247.82,2451.21,1849.42,0.00,2223.34,193.41,-529.03,3836.96,-33.07,-45.04,3364.47,785.56,-600.86,0.00,0.00,1013.57,1366.66,-687.39,0.00,902.75,1723.67,4820.70,2535.03,0.00,0.00,313.18,8865.17,0.00,8838.85,1271.77,-115.36,0.00,-979.93,607.80,0.00,-1074.02,-642.01,3822.04,-740.03,259.29,-729.06,0.00,-992.94,-1148.08,-448.88,4177.16,-818.98,-871.34,-1384.74,-1217.83,-955.93,-956.90,-1085.39,-1116.13,-1032.65,0.00,0.00,-1119.97,-1432.07,-1463.72,-1148.23
-187.13,0.00,-253.28,-70.80,8648.22,-353.53,0.00,-193.57,-80.51,-269.04,0.00,-316.38,0.00,-178.66,23.82,-122.71,-2724.03,1198.18,5823.25,0.00,0.00,0.00,420.36,4277.05,635.33,6.21,3822.69,0.00,403.56,617.16,557.78,0.00,8164.69,2677.02,-535.38,288.74,-1710.45,898.89,-393.74,454.02,0.00,4277.89,98.49,79.19,-226.39,0.00,0.00,0.00,2927.36,9.79,1094.15,-1025.59,0.00,133.91,-627.70,0.00,3693.19,0.00,0.00,-667.60,-333.54,0.00,1114.09,7734.61,667.39,6845.17,-366.02,-652.45,-299.39,4381.33,0.00,-870.36,-207.47,0.00,5251.24,528.59,-480.97,-853.34,0.00,-149.00,1093.93,3788.87,-973.65,3141.28,0.00,0.00,-166.22,0.00,88.60,-228.23,-358.24,-73.65,1872.78,0.00,0.00,-279.28,636.49,943.39,0.00,659.20,-1152.88,0.00,-1136.78,-734.49,-1318.93,-1447.33,-1104.15,-838.06,-1472.20,-796.36,-1138.27,-814.89,-862.69,-1104.57,-904.26,-1437.52,-1378.48,-1071.31,-1103.08,-1094.38,-1184.34,-1300.73,-1287.17,-1101.22,-1153.59,-1148.38,-1017.92,-1136.92
0.00,29.10,-70.69,93.24,75.80,16.17,0.00,-52.88,39.94,-52.15,108.28,-40.29,-4.35,26.20,10.16,64.57,0.00,0.00,1491.04,5455.75,5784.93,-212.95,0.00,0.00,276.92,0.00,0.00,0.00,-887.28,0.00,-616.26,925.69,2755.04,0.00,416.73,1447.22,2117.57,-704.40,-565.95,-460.93,-48.10,-470.07,62.39,714.48,6958.71,1537.13,2886.29,-151.60,0.00,-699.11,-652.36,0.00,-1062.91,0.00,0.00,-763.46,228.92,-896.02,-870.26,506.66,-664.98,-862.53,-742.19,-894.52,0.00,0.00,-105.84,994.90,0.00,5143.28,-92.44,-141.15,0.00,-49.03,-936.29,-51.09,429.62,-127.63,-112.41,0.00,73.27,1197.51,329.66,0.00,651.42,0.00,-63.08,4144.10,-228.88,-515.06,2306.16,131.21,4348.96,0.00,0.00,220.59,0.00,0.00,515.48,-945.79,210.74,0.00,-783.13,-360.82,-791.24,-983.92,0.00,-803.67,265.19,-814.26,4238.58,-748.41,0.00,-1368.67,-738.91,-1284.15,-1274.07,-836.27,-989.85,-942.59,-1050.56,-1091.13,-966.62,-998.30,-952.25,-1026.00,-907.98,-868.02
