32,-217.5,11.6,11.2
33,-217.5,11.6,8.0
58,-217.5,2.0,4.8
40,-217.5,8.4,11.2
43,-217.5,8.4,1.6
42,-217.5,8.4,4.8
35,-217.5,11.6,1.6
56,-217.5,2.0,11.2
49,-217.5,5.2,8.0
59,-217.5,2.0,1.6
41,-217.5,8.4,8.0
51,-217.5,5.2,1.6
34,-217.5,11.6,4.8
50,-217.5,5.2,4.8
48,-217.5,5.2,11.2
57,-217.5,2.0,8.0
24,-217.5,14.8,11.2
25,-217.5,14.8,8.0
16,-217.5,18.0,11.2
17,-217.5,18.0,8.0
0,-217.5,24.4,11.2
8,-217.5,21.2,11.2
1,-217.5,24.4,8.0
9,-217.5,21.2,8.0
26,-217.5,14.8,4.8
10,-217.5,21.2,4.8
18,-217.5,18.0,4.8
36,-217.5,11.6,-1.6
2,-217.5,24.4,4.8
27,-217.5,14.8,1.6
3,-217.5,24.4,1.6
11,-217.5,21.2,1.6
19,-217.5,18.0,1.6
28,-217.5,14.8,-1.6
20,-217.5,18.0,-1.6
4,-217.5,24.4,-1.6
12,-217.5,21.2,-1.6
5,-217.5,24.4,-4.8
44,-217.5,8.4,-1.6
13,-217.5,21.2,-4.8
21,-217.5,18.0,-4.8
29,-217.5,14.8,-4.8
14,-217.5,21.2,-8.0
6,-217.5,24.4,-8.0
7,-217.5,24.4,-11.2
30,-217.5,14.8,-8.0
15,-217.5,21.2,-11.2
22,-217.5,18.0,-8.0
31,-217.5,14.8,-11.2
23,-217.5,18.0,-11.2
53,-217.5,5.2,-4.8
54,-217.5,5.2,-8.0
62,-217.5,2.0,-8.0
38,-217.5,11.6,-8.0
46,-217.5,8.4,-8.0
55,-217.5,5.2,-11.2
63,-217.5,2.0,-11.2
61,-217.5,2.0,-4.8
60,-217.5,2.0,-1.6
37,-217.5,11.6,-4.8
47,-217.5,8.4,-11.2
45,-217.5,8.4,-4.8
52,-217.5,5.2,-1.6
39,-217.5,11.6,-11.2
95,-217.5,-11.6,-11.2
94,-217.5,-11.6,-8.0
84,-217.5,-8.4,-1.6
86,-217.5,-8.4,-8.0
92,-217.5,-11.6,-1.6
79,-217.5,-5.2,-11.2
77,-217.5,-5.2,-4.8
71,-217.5,-2.0,-11.2
78,-217.5,-5.2,-8.0
91,-217.5,-11.6,1.6
87,-217.5,-8.4,-11.2
83,-217.5,-8.4,1.6
93,-217.5,-11.6,-4.8
69,-217.5,-2.0,-4.8
85,-217.5,-8.4,-4.8
70,-217.5,-2.0,-8.0
103,-217.5,-14.8,-11.2
119,-217.5,-21.2,-11.2
111,-217.5,-18.0,-11.2
127,-217.5,-24.4,-11.2
110,-217.5,-18.0,-8.0
102,-217.5,-14.8,-8.0
118,-217.5,-21.2,-8.0
126,-217.5,-24.4,-8.0
101,-217.5,-14.8,-4.8
117,-217.5,-21.2,-4.8
109,-217.5,-18.0,-4.8
76,-217.5,-5.2,-1.6
125,-217.5,-24.4,-4.8
124,-217.5,-24.4,-1.6
116,-217.5,-21.2,-1.6
100,-217.5,-14.8,-1.6
108,-217.5,-18.0,-1.6
107,-217.5,-18.0,1.6
115,-217.5,-21.2,1.6
99,-217.5,-14.8,1.6
123,-217.5,-24.4,1.6
122,-217.5,-24.4,4.8
68,-217.5,-2.0,-1.6
114,-217.5,-21.2,4.8
121,-217.5,-24.4,8.0
106,-217.5,-18.0,4.8
113,-217.5,-21.2,8.0
98,-217.5,-14.8,4.8
120,-217.5,-24.4,11.2
105,-217.5,-18.0,8.0
112,-217.5,-21.2,11.2
97,-217.5,-14.8,8.0
104,-217.5,-18.0,11.2
96,-217.5,-14.8,11.2
66,-217.5,-2.0,4.8
81,-217.5,-8.4,8.0
65,-217.5,-2.0,8.0
89,-217.5,-11.6,8.0
73,-217.5,-5.2,8.0
72,-217.5,-5.2,11.2
64,-217.5,-2.0,11.2
74,-217.5,-5.2,4.8
75,-217.5,-5.2,1.6
90,-217.5,-11.6,4.8
80,-217.5,-8.4,11.2
82,-217.5,-8.4,4.8
67,-217.5,-2.0,1.6
88,-217.5,-11.6,11.2
160,217.5,11.6,11.2
161,217.5,11.6,8.0
186,217.5,2.0,4.8
168,217.5,8.4,11.2
171,217.5,8.4,1.6
170,217.5,8.4,4.8
163,217.5,11.6,1.6
184,217.5,2.0,11.2
177,217.5,5.2,8.0
187,217.5,2.0,1.6
169,217.5,8.4,8.0
179,217.5,5.2,1.6
162,217.5,11.6,4.8
178,217.5,5.2,4.8
176,217.5,5.2,11.2
185,217.5,2.0,8.0
152,217.5,14.8,11.2
153,217.5,14.8,8.0
144,217.5,18.0,11.2
145,217.5,18.0,8.0
128,217.5,24.4,11.2
136,217.5,21.2,11.2
129,217.5,24.4,8.0
137,217.5,21.2,8.0
154,217.5,14.8,4.8
138,217.5,21.2,4.8
146,217.5,18.0,4.8
164,217.5,11.6,-1.6
130,217.5,24.4,4.8
155,217.5,14.8,1.6
131,217.5,24.4,1.6
139,217.5,21.2,1.6
147,217.5,18.0,1.6
156,217.5,14.8,-1.6
148,217.5,18.0,-1.6
132,217.5,24.4,-1.6
140,217.5,21.2,-1.6
133,217.5,24.4,-4.8
172,217.5,8.4,-1.6
141,217.5,21.2,-4.8
149,217.5,18.0,-4.8
157,217.5,14.8,-4.8
142,217.5,21.2,-8.0
134,217.5,24.4,-8.0
135,217.5,24.4,-11.2
158,217.5,14.8,-8.0
143,217.5,21.2,-11.2
150,217.5,18.0,-8.0
159,217.5,14.8,-11.2
151,217.5,18.0,-11.2
181,217.5,5.2,-4.8
182,217.5,5.2,-8.0
190,217.5,2.0,-8.0
166,217.5,11.6,-8.0
174,217.5,8.4,-8.0
183,217.5,5.2,-11.2
191,217.5,2.0,-11.2
189,217.5,2.0,-4.8
188,217.5,2.0,-1.6
165,217.5,11.6,-4.8
175,217.5,8.4,-11.2
173,217.5,8.4,-4.8
180,217.5,5.2,-1.6
167,217.5,11.6,-11.2
223,217.5,-11.6,-11.2
222,217.5,-11.6,-8.0
212,217.5,-8.4,-1.6
214,217.5,-8.4,-8.0
220,217.5,-11.6,-1.6
207,217.5,-5.2,-11.2
205,217.5,-5.2,-4.8
199,217.5,-2.0,-11.2
206,217.5,-5.2,-8.0
219,217.5,-11.6,1.6
215,217.5,-8.4,-11.2
211,217.5,-8.4,1.6
221,217.5,-11.6,-4.8
197,217.5,-2.0,-4.8
213,217.5,-8.4,-4.8
198,217.5,-2.0,-8.0
231,217.5,-14.8,-11.2
247,217.5,-21.2,-11.2
239,217.5,-18.0,-11.2
255,217.5,-24.4,-11.2
238,217.5,-18.0,-8.0
230,217.5,-14.8,-8.0
246,217.5,-21.2,-8.0
254,217.5,-24.4,-8.0
229,217.5,-14.8,-4.8
245,217.5,-21.2,-4.8
237,217.5,-18.0,-4.8
204,217.5,-5.2,-1.6
253,217.5,-24.4,-4.8
252,217.5,-24.4,-1.6
244,217.5,-21.2,-1.6
228,217.5,-14.8,-1.6
236,217.5,-18.0,-1.6
235,217.5,-18.0,1.6
243,217.5,-21.2,1.6
227,217.5,-14.8,1.6
251,217.5,-24.4,1.6
250,217.5,-24.4,4.8
196,217.5,-2.0,-1.6
242,217.5,-21.2,4.8
249,217.5,-24.4,8.0
234,217.5,-18.0,4.8
241,217.5,-21.2,8.0
226,217.5,-14.8,4.8
248,217.5,-24.4,11.2
233,217.5,-18.0,8.0
240,217.5,-21.2,11.2
225,217.5,-14.8,8.0
232,217.5,-18.0,11.2
224,217.5,-14.8,11.2
194,217.5,-2.0,4.8
209,217.5,-8.4,8.0
193,217.5,-2.0,8.0
217,217.5,-11.6,8.0
201,217.5,-5.2,8.0
200,217.5,-5.2,11.2
192,217.5,-2.0,11.2
202,217.5,-5.2,4.8
203,217.5,-5.2,1.6
218,217.5,-11.6,4.8
208,217.5,-8.4,11.2
210,217.5,-8.4,4.8
195,217.5,-2.0,1.6
216,217.5,-11.6,11.2
